Episode,AgentID,Type,Score,Reward,Steps
1,0,DQN,0,0,0
1,2,DDQN,0,0,0
1,1,DQN,0,0,0
1,3,DDQN,0,0,0
2,0,DQN,0,0,0
2,1,DQN,0,0,0
2,2,DDQN,0,0,0
2,3,DDQN,0,0,0
3,0,DQN,0,0,0
3,3,DDQN,0,0,0
3,1,DQN,1,0,0
3,2,DDQN,0,0,0
4,0,DQN,1,0,0
4,2,DDQN,0,0,0
4,3,DDQN,0,0,0
4,1,DQN,0,0,0
5,0,DQN,0,0,0
5,2,DDQN,0,0,0
5,1,DQN,1,0,0
6,2,DDQN,0,0,0
6,0,DQN,0,0,0
5,3,DDQN,1,0,0
7,2,DDQN,1,0,0
6,1,DQN,1,0,0
7,1,DQN,1,0,0
7,0,DQN,2,0,0
6,3,DDQN,1,0,0
8,0,DQN,0,0,0
8,1,DQN,1,0,0
7,3,DDQN,0,0,0
8,3,DDQN,0,0,0
9,0,DQN,1,0,0
9,1,DQN,2,0,0
8,2,DDQN,1,0,0
9,3,DDQN,1,0,0
10,0,DQN,2,0,0
10,3,DDQN,0,0,0
9,2,DDQN,1,0,0
10,1,DQN,2,0,0
11,3,DDQN,0,0,0
11,0,DQN,0,0,0
10,2,DDQN,0,0,0
12,0,DQN,0,0,0
13,0,DQN,0,0,0
11,1,DQN,2,0,0
11,2,DDQN,1,0,0
12,1,DQN,1,0,0
12,2,DDQN,0,0,0
14,0,DQN,2,0,0
13,1,DQN,1,0,0
13,2,DDQN,1,0,0
15,0,DQN,1,0,0
12,3,DDQN,2,0,0
14,1,DQN,2,0,0
14,2,DDQN,1,0,0
13,3,DDQN,1,0,0
15,2,DDQN,1,0,0
14,3,DDQN,0,0,0
16,0,DQN,2,0,0
16,2,DDQN,2,0,0
17,0,DQN,2,0,0
15,3,DDQN,4,0,0
15,1,DQN,0,0,0
17,2,DDQN,0,0,0
16,3,DDQN,1,0,0
18,0,DQN,1,0,0
16,1,DQN,0,0,0
17,3,DDQN,3,0,0
18,2,DDQN,6,0,0
18,3,DDQN,1,0,0
19,2,DDQN,0,0,0
17,1,DQN,2,0,0
18,1,DQN,0,0,0
20,2,DDQN,2,0,0
19,1,DQN,1,0,0
21,2,DDQN,1,0,0
19,3,DDQN,6,0,0
20,1,DQN,0,0,0
19,0,DQN,0,0,0
20,3,DDQN,2,0,0
22,2,DDQN,1,0,0
20,0,DQN,0,0,0
21,1,DQN,0,0,0
22,1,DQN,1,0,0
21,0,DQN,2,0,0
23,2,DDQN,1,0,0
23,1,DQN,0,0,0
21,3,DDQN,5,0,0
24,2,DDQN,2,0,0
22,0,DQN,0,0,0
22,3,DDQN,1,0,0
24,1,DQN,1,0,0
23,3,DDQN,0,0,0
25,2,DDQN,3,0,0
25,1,DQN,1,0,0
24,3,DDQN,1,0,0
26,2,DDQN,0,0,0
26,1,DQN,0,0,0
25,3,DDQN,2,0,0
23,0,DQN,2,0,0
27,1,DQN,1,0,0
27,2,DDQN,3,0,0
28,1,DQN,1,0,0
28,2,DDQN,2,0,0
24,0,DQN,2,0,0
26,3,DDQN,0,0,0
29,2,DDQN,2,0,0
27,3,DDQN,2,0,0
25,0,DQN,1,0,0
26,0,DQN,0,0,0
30,2,DDQN,3,0,0
29,1,DQN,4,0,0
27,0,DQN,1,0,0
28,3,DDQN,4,0,0
30,1,DQN,0,0,0
31,2,DDQN,0,0,0
31,1,DQN,0,0,0
28,0,DQN,1,0,0
32,1,DQN,0,0,0
29,0,DQN,0,0,0
29,3,DDQN,6,0,0
32,2,DDQN,6,0,0
30,0,DQN,1,0,0
33,1,DQN,2,0,0
34,1,DQN,0,0,0
31,0,DQN,2,0,0
33,2,DDQN,3,0,0
30,3,DDQN,8,0,0
34,2,DDQN,1,0,0
35,1,DQN,3,0,0
32,0,DQN,2,0,0
36,1,DQN,2,0,0
31,3,DDQN,5,0,0
33,0,DQN,1,0,0
37,1,DQN,0,0,0
35,2,DDQN,8,0,0
32,3,DDQN,3,0,0
36,2,DDQN,0,0,0
34,0,DQN,4,0,0
33,3,DDQN,1,0,0
38,1,DQN,2,0,0
37,2,DDQN,3,0,0
34,3,DDQN,1,0,0
35,0,DQN,4,0,0
38,2,DDQN,1,0,0
39,1,DQN,2,0,0
35,3,DDQN,2,0,0
36,0,DQN,2,0,0
36,3,DDQN,1,0,0
39,2,DDQN,3,0,0
37,0,DQN,3,0,0
40,1,DQN,4,0,0
37,3,DDQN,1,0,0
41,1,DQN,0,0,0
40,2,DDQN,5,0,0
38,3,DDQN,2,0,0
41,2,DDQN,1,0,0
42,1,DQN,2,0,0
38,0,DQN,6,0,0
39,3,DDQN,4,0,0
43,1,DQN,1,0,0
39,0,DQN,0,0,0
40,0,DQN,1,0,0
44,1,DQN,2,0,0
40,3,DDQN,8,0,0
42,2,DDQN,9,0,0
41,0,DQN,3,0,0
41,3,DDQN,0,0,0
45,1,DQN,1,0,0
43,2,DDQN,0,0,0
46,1,DQN,1,0,0
42,0,DQN,2,0,0
43,0,DQN,0,0,0
44,2,DDQN,3,0,0
47,1,DQN,1,0,0
42,3,DDQN,11,0,0
44,0,DQN,1,0,0
45,2,DDQN,3,0,0
43,3,DDQN,1,0,0
46,2,DDQN,1,0,0
48,1,DQN,3,0,0
45,0,DQN,1,0,0
44,3,DDQN,1,0,0
46,0,DQN,1,0,0
49,1,DQN,2,0,0
47,0,DQN,0,0,0
47,2,DDQN,7,0,0
50,1,DQN,4,0,0
48,0,DQN,1,0,0
45,3,DDQN,10,0,0
48,2,DDQN,3,0,0
49,2,DDQN,0,0,0
46,3,DDQN,0,0,0
49,0,DQN,2,0,0
50,0,DQN,1,0,0
51,1,DQN,6,0,0
50,2,DDQN,4,0,0
47,3,DDQN,10,0,0
51,0,DQN,5,0,0
51,2,DDQN,4,0,0
52,1,DQN,7,0,0
48,3,DDQN,5,0,0
52,0,DQN,1,0,0
53,1,DQN,1,0,0
49,3,DDQN,1,0,0
52,2,DDQN,5,0,0
50,3,DDQN,1,0,0
54,1,DQN,1,0,0
53,0,DQN,4,0,0
53,2,DDQN,3,0,0
51,3,DDQN,3,0,0
55,1,DQN,0,0,0
54,0,DQN,1,0,0
54,2,DDQN,3,0,0
52,3,DDQN,3,0,0
55,0,DQN,2,0,0
56,1,DQN,1,0,0
57,1,DQN,0,0,0
53,3,DDQN,8,0,0
58,1,DQN,5,0,0
55,2,DDQN,13,0,0
56,0,DQN,11,0,0
54,3,DDQN,9,0,0
57,0,DQN,1,0,0
59,1,DQN,6,0,0
58,0,DQN,1,0,0
56,2,DDQN,10,0,0
60,1,DQN,1,0,0
57,2,DDQN,1,0,0
61,1,DQN,2,0,0
58,2,DDQN,4,0,0
55,3,DDQN,14,0,0
59,0,DQN,6,0,0
62,1,DQN,6,0,0
56,3,DDQN,4,0,0
59,2,DDQN,11,0,0
57,3,DDQN,2,0,0
60,0,DQN,7,0,0
60,2,DDQN,2,0,0
61,2,DDQN,1,0,0
61,0,DQN,2,0,0
63,1,DQN,11,0,0
62,0,DQN,0,0,0
58,3,DDQN,10,0,0
64,1,DQN,6,0,0
65,1,DQN,1,0,0
63,0,DQN,11,0,0
62,2,DDQN,17,0,0
66,1,DQN,2,0,0
59,3,DDQN,16,0,0
67,1,DQN,0,0,0
63,2,DDQN,8,0,0
64,0,DQN,6,0,0
60,3,DDQN,5,0,0
68,1,DQN,4,0,0
61,3,DDQN,2,0,0
65,0,DQN,4,0,0
69,1,DQN,0,0,0
64,2,DDQN,12,0,0
66,0,DQN,5,0,0
62,3,DDQN,2,0,0
63,3,DDQN,3,0,0
65,2,DDQN,8,0,0
70,1,DQN,8,0,0
71,1,DQN,2,0,0
67,0,DQN,16,0,0
72,1,DQN,5,0,0
68,0,DQN,2,0,0
64,3,DDQN,14,0,0
66,2,DDQN,17,0,0
69,0,DQN,7,0,0
73,1,DQN,12,0,0
65,3,DDQN,10,0,0
70,0,DQN,4,0,0
66,3,DDQN,3,0,0
71,0,DQN,0,0,0
74,1,DQN,9,0,0
67,2,DDQN,23,0,0
67,3,DDQN,17,0,0
68,2,DDQN,15,0,0
72,0,DQN,10,0,0
69,2,DDQN,12,0,0
75,1,DQN,28,0,0
68,3,DDQN,17,0,0
76,1,DQN,1,0,0
73,0,DQN,13,0,0
77,1,DQN,1,0,0
74,0,DQN,2,0,0
70,2,DDQN,21,0,0
69,3,DDQN,21,0,0
75,0,DQN,15,0,0
71,2,DDQN,11,0,0
78,1,DQN,29,0,0
70,3,DDQN,15,0,0
76,0,DQN,18,0,0
72,2,DDQN,24,0,0
71,3,DDQN,12,0,0
72,3,DDQN,12,0,0
77,0,DQN,22,0,0
79,1,DQN,34,0,0
73,2,DDQN,32,0,0
80,1,DQN,16,0,0
74,2,DDQN,14,0,0
73,3,DDQN,23,0,0
74,3,DDQN,1,0,0
78,0,DQN,35,0,0
75,2,DDQN,24,0,0
75,3,DDQN,22,0,0
81,1,DQN,31,0,0
76,2,DDQN,10,0,0
76,3,DDQN,7,0,0
82,1,DQN,21,0,0
79,0,DQN,31,0,0
77,2,DDQN,38,0,0
77,3,DDQN,34,0,0
83,1,DQN,30,0,0
78,3,DDQN,7,0,0
78,2,DDQN,14,0,0
80,0,DQN,26,0,0
84,1,DQN,18,0,0
85,1,DQN,2,0,0
79,2,DDQN,25,0,0
86,1,DQN,18,0,0
79,3,DDQN,41,0,0
80,2,DDQN,22,0,0
80,3,DDQN,6,0,0
81,0,DQN,48,0,0
87,1,DQN,24,0,0
81,2,DDQN,32,0,0
81,3,DDQN,31,0,0
82,0,DQN,37,0,0
82,2,DDQN,21,0,0
88,1,DQN,47,0,0
82,3,DDQN,45,0,0
83,2,DDQN,32,0,0
84,2,DDQN,1,0,0
83,0,DQN,53,0,0
89,1,DQN,33,0,0
83,3,DDQN,32,0,0
85,2,DDQN,30,0,0
84,3,DDQN,24,0,0
84,0,DQN,39,0,0
90,1,DQN,41,0,0
86,2,DDQN,32,0,0
85,0,DQN,19,0,0
91,1,DQN,20,0,0
85,3,DDQN,42,0,0
86,3,DDQN,3,0,0
87,2,DDQN,35,0,0
86,0,DQN,21,0,0
87,3,DDQN,13,0,0
92,1,DQN,27,0,0
87,0,DQN,21,0,0
88,2,DDQN,24,0,0
88,3,DDQN,27,0,0
88,0,DQN,15,0,0
93,1,DQN,47,0,0
89,2,DDQN,35,0,0
89,3,DDQN,41,0,0
90,2,DDQN,8,0,0
89,0,DQN,32,0,0
94,1,DQN,32,0,0
91,2,DDQN,16,0,0
90,3,DDQN,24,0,0
95,1,DQN,11,0,0
92,2,DDQN,29,0,0
90,0,DQN,46,0,0
96,1,DQN,40,0,0
91,3,DDQN,42,0,0
93,2,DDQN,25,0,0
91,0,DQN,27,0,0
97,1,DQN,0,0,0
92,0,DQN,16,0,0
98,1,DQN,7,0,0
94,2,DDQN,35,0,0
99,1,DQN,13,0,0
92,3,DDQN,43,0,0
93,0,DQN,30,0,0
95,2,DDQN,34,0,0
100,1,DQN,38,0,0
93,3,DDQN,40,0,0
96,2,DDQN,28,0,0
94,0,DQN,7,0,0
94,3,DDQN,35,0,0
95,0,DQN,9,0,0
97,2,DDQN,47,0,0
95,3,DDQN,32,0,0
96,0,DQN,22,0,0
96,3,DDQN,28,0,0
97,3,DDQN,15,0,0
97,0,DQN,47,0,0
98,2,DDQN,70,0,0
98,0,DQN,26,0,0
98,3,DDQN,44,0,0
99,3,DDQN,11,0,0
99,2,DDQN,40,0,0
99,0,DQN,33,0,0
100,3,DDQN,33,0,0
100,2,DDQN,35,0,0
100,0,DQN,37,0,0
